Id,SalePrice
1461,121749.36615938807
1462,163133.69432894752
1463,186776.27583588514
1464,199348.05073562037
1465,192240.5378117495
1466,172206.59241581525
1467,181098.63888916647
1468,164307.33431106983
1469,191004.54933428366
1470,121661.00929409143
1471,197401.0728778987
1472,98440.92511922157
1473,97152.30837467745
1474,150585.8307888051
1475,116509.57856350901
1476,351750.122761984
1477,252198.230826713
1478,282755.81317008636
1479,275087.8148485435
1480,457065.03757407714
1481,333099.4895599462
1482,208296.98505709725
1483,182123.74391760828
1484,167057.6189187386
1485,184992.66679416486
1486,199274.66917227153
1487,318442.56414700934
1488,230666.17058636056
1489,201911.67087027416
1490,235444.40018869273
1491,195073.05861532915
1492,100904.37919833422
1493,190932.32618322002
1494,283944.9136640136
1495,283572.42337286915
1496,239671.18108299392
1497,184037.78516691728
1498,167813.12013713043
1499,162575.0154645539
1500,155882.41607346496
1501,179268.55417589867
1502,148458.5599373263
1503,287476.39407974255
1504,245319.91522341585
1505,230410.49954147707
1506,187423.84943626224
1507,257533.72679613577
1508,201927.7488151078
1509,162307.31889670974
1510,147267.02047951517
1511,154304.5249970521
1512,180400.66836359396
1513,147126.19219359214
1514,155305.2679272642
1515,197244.30374762992
1516,154351.2389625248
1517,170446.57328764145
1518,132293.38845947088
1519,222296.89391748098
1520,131467.31782273325
1521,134509.0431293334
1522,176467.23931695576
1523,113521.51952653415
1524,121412.05777551807
1525,124916.37786492673
1526,113095.77277655629
1527,109614.62288414904
1528,137091.89785249543
1529,152727.48729739946
1530,193428.72764700023
1531,109280.85312443739
1532,97788.32059365704
1533,152838.71489054614
1534,122642.32161118256
1535,157394.5950952089
1536,112564.8948877399
1537,68405.27132219964
1538,158018.64901163263
1539,193186.75717264306
1540,101967.06619365819
1541,140697.70410429392
1542,145196.38772128482
1543,210162.23256354863
1544,89645.3652576843
1545,116018.39168507175
1546,133369.95170510845
1547,134431.09969678381
1548,142623.0159745235
1549,121593.30057482971
1550,139662.89215274344
1551,114908.70737056968
1552,141441.87680947367
1553,148874.16016267324
1554,119889.9073504054
1555,163520.66197170506
1556,89736.81265312544
1557,114477.38417788452
1558,98327.90393661073
1559,72668.48840497855
1560,140432.33338157815
1561,130956.98192982949
1562,129547.4213642483
1563,122296.3305539815
1564,160693.91445615588
1565,145117.62388528808
1566,245377.90536318786
1567,81478.15124395608
1568,238678.8177895172
1569,135618.99483251915
1570,141899.17678678807
1571,119787.83097931769
1572,147548.5482720314
1573,240358.42306311493
1574,128984.30722158153
1575,235320.82803793543
1576,251177.32492447254
1577,186667.18711500752
1578,142929.66388973861
1579,146419.38465732476
1580,192122.61008110986
1581,154644.25899750742
1582,127144.87578308966
1583,309751.342033052
1584,227545.98943942622
1585,139316.80369729776
1586,69988.3230836617
1587,101749.9741904047
1588,158068.48571818275
1589,101044.41505706227
1590,137938.75837760515
1591,93246.40262588707
1592,117289.1265916209
1593,126295.33969110018
1594,134317.90113762114
1595,112414.8773424415
1596,240779.32048226934
1597,191382.4230992266
1598,216303.06326220243
1599,169996.0582346253
1600,163711.76648674213
1601,69217.36833337447
1602,118961.7860129817
1603,80587.74698767375
1604,263727.82528435456
1605,243327.66202775808
1606,171973.48983704788
1607,178412.2498889914
1608,213790.88433073065
1609,187169.94735815004
1610,151401.66987534994
1611,141276.68759312277
1612,174082.78123257196
1613,168937.4279768166
1614,126162.61902725275
1615,92585.62317823208
1616,78010.86550796594
1617,93198.77310666126
1618,127510.52548173952
1619,141904.27003799606
1620,163206.27520045772
1621,136869.89681723798
1622,143498.42573751425
1623,273998.6986165959
1624,221492.78715677783
1625,120302.39377229499
1626,169679.52408309418
1627,194337.00978445876
1628,278466.82726659457
1629,176445.2044152683
1630,354103.75799006625
1631,216459.32032921107
1632,237774.40176500927
1633,171126.64808617075
1634,188353.12613153135
1635,175479.26739044755
1636,153730.98619639175
1637,201406.92380151834
1638,184912.9086817271
1639,186646.51897737148
1640,265692.5289769424
1641,179943.49680869924
1642,238335.6802348137
1643,220690.87420818163
1644,237672.23126622284
1645,209760.2778151309
1646,160130.9122951807
1647,156348.48746095313
1648,132288.23445336614
1649,140600.89964253746
1650,113602.66730680532
1651,122075.47534362672
1652,97695.43301049696
1653,100607.0306503993
1654,147658.07989438737
1655,139461.9558923265
1656,143016.80989842294
1657,148297.3832895111
1658,146726.4074855211
1659,122906.23217204287
1660,155323.04213559636
1661,414288.95422291476
1662,393888.8369697953
1663,374657.8742434195
1664,472507.34812177223
1665,299278.1105218251
1666,326193.79466892115
1667,374093.02964431443
1668,332806.1474567408
1669,293929.5031455594
1670,336809.3962210394
1671,274369.7351463254
1672,412873.1283734354
1673,290586.99141028506
1674,244823.90238333557
1675,199495.78672235485
1676,198744.93669155356
1677,221727.12341844616
1678,448437.78937049414
1679,375818.9905944753
1680,326139.85091229354
1681,237878.43286260782
1682,312344.5389124388
